filename,Ca,K,Mn,N,P,S,Zn
K_Mn_57337b7c-f7b3-4ed0-a249-921df1351cf1___JR_B-Spot-3243_flipTB_JPG.rf.2e869f4ec5a06ee58b9e6bd828170526.jpg,0,1,1,0,0,0,0
Healthy_ddb5f9d9-fd75-40e0-9c14-b09f38fb5cdc___JR_HL-5864_JPG.rf.2678e33f0df2566f724b5f1493014fdb.jpg,0,0,0,0,0,0,0
Healthy_aef76e6b-3245-4653-887a-a64d76a93bb8___JR_HL-8042_JPG.rf.36f9eddacd43d32f790cde594e68d943.jpg,0,0,0,0,0,0,0
Healthy_650a5f9b-7a57-46fd-a18a-844bb03bdf80___JR_HL-6013_JPG.rf.9c5f19095b716e87eba45e5f09f1fbf2.jpg,0,0,0,0,0,0,0
Healthy_3e75d3f9-4e1b-4f09-94e2-e55a9c4d860e___JR_HL-5978_flipTB_JPG.rf.6fa80ebf7af9b663a0a8b832df2b7fc7.jpg,0,0,0,0,0,0,0
K_Mn_P_6499df20-fea2-4b02-bd62-a88c813dd3db___NREC_B-Spot-1841_180deg_JPG.rf.baf41a298096ad157b8dbe5178fcaa9b.jpg,0,1,1,0,1,0,0
Healthy_3bf6ef5b-f492-4aee-ae35-bd5a0260fdaf___JR_HL-7988_new30degFlipLR_JPG.rf.254c91c025e1a67393e77ec6f668f382.jpg,0,0,0,0,0,0,0
K_Mn_Zn_9029703b-db1b-4227-bd29-ab05cc53b7ba___NREC_B-Spot-1802_flipTB_JPG.rf.7632e238a9a17a0774d58b6b1787032b.jpg,0,1,1,0,0,0,1
Healthy_8acf0350-5233-4fdd-ae77-34d78943cc9a___JR_HL-8237_JPG.rf.f8b0f7a2a66b22dc9985d5e67c5b6cab.jpg,0,0,0,0,0,0,0
Healthy_a8758911-2b5a-4383-9636-1e90d33c90a4___JR_HL-7991_JPG.rf.a60551bb8eec7570c355d2e7a4b83d20.jpg,0,0,0,0,0,0,0
Healthy_3b0f8dbb-905b-4bdc-b4c6-231a22a47287___JR_HL-7610_JPG.rf.8877b15b8b57a4dce5e6ee14175d6b41.jpg,0,0,0,0,0,0,0
Mn_S_a72dbf23-65d1-40c6-a7bc-82caed00c6d3___JR_B-Spot-3333_JPG.rf.c83f694cbe847ddc1591c39eebb67cee.jpg,0,0,1,0,0,1,0
K_Mn_P_642a8e92-aaea-4f20-8b59-29b541cb2611___NREC_B-Spot-9183_180deg_JPG.rf.ce47643a51c87dcc485be91f4a59ad4d.jpg,0,1,1,0,1,0,0
Healthy_031f6e91-afc0-48c2-8989-a2ce770549d5___JR_HL-7911_JPG.rf.ee38beb11876da70b6b684fc34c2fc9e.jpg,0,0,0,0,0,0,0
N_z7405998619798_796df6469b070887b2db2f3ca6c52da4_jpg.rf.0144c917255ab6afa5b035aaf38ce529.jpg,0,0,0,1,0,0,0
Mn_P_221f63bc-0c34-446b-b58f-bd47917f6838___JR_B-Spot-9077_JPG.rf.95b08d01e613c674b0a4b01a27f162fd.jpg,0,0,1,0,1,0,0
Healthy_023f9133-6194-41d5-b4b0-e82821bda698___JR_HL-5884_JPG.rf.4578021451999521a65843cb79941c87.jpg,0,0,0,0,0,0,0
K_Mn_65a94537-481e-44d0-a1e1-d8ba6551247d___JR_B-Spot-3202_180deg_JPG.rf.1f95c80089deca6152bf4d9e02aa5f62.jpg,0,1,1,0,0,0,0
K_Mn_975b25df-a4d7-4aca-b1b9-312487544eaa___JR_B-Spot-8830_JPG.rf.1b026b254f54d6a9d8634362aa1c4116.jpg,0,1,1,0,0,0,0
Mn_4c1f3e8b-4c85-4554-b1d7-25feca1f58b3___JR_B-Spot-3250_JPG.rf.121a25c59ef4565f0db63007be8e2df5.jpg,0,0,1,0,0,0,0
K_Mn_P_da56da68-37e7-4003-8ebe-de5e545945f6___NREC_B-Spot-9197_flipTB_JPG.rf.3e6069f1ef4118ae2231e46c0b73bf5f.jpg,0,1,1,0,1,0,0
Healthy_7c95b0e8-b8df-4312-aca8-51d4731e7c1e___JR_HL-8899_JPG.rf.f7de42f51387adad043a4113ad9fe335.jpg,0,0,0,0,0,0,0
Mn_P_80d302d6-102c-4fe0-acf8-8ff5b796767e___JR_B-Spot-8898_flipTB_JPG.rf.b3e55249017e5c587e770d4065ac5824.jpg,0,0,1,0,1,0,0
Mn_P_Zn_77ec0101-977d-4873-a25c-1f2f2ff831af___JR_B-Spot-9090_flipTB_JPG.rf.50952507057f210a98d5c303c1dd102d.jpg,0,0,1,0,1,0,1
Mn_S_32d3951c-8c10-4e8f-b35c-81f7de2513c7___JR_B-Spot-3112_JPG.rf.da8e61371be541e1c7b7c1284e4697db.jpg,0,0,1,0,0,1,0
Healthy_a0519138-7416-45bd-9798-396a7a79302f___JR_HL-8117_JPG.rf.87c78e8cb2c086c66af77e59b56cc2bf.jpg,0,0,0,0,0,0,0
Healthy_dd87648b-f981-45cc-828c-f4a4634630c9___JR_HL-8186_JPG.rf.4e0afda6b5fe47bfda441f9f59181465.jpg,0,0,0,0,0,0,0
Healthy_19f9585d-868d-42e8-9d63-cae9fe345bd4___JR_HL-5839_JPG.rf.98cb908abdbeab2ac6db996fc8678d53.jpg,0,0,0,0,0,0,0
Healthy_38182511-f92e-4719-abc9-ff5514ece384___JR_HL-8549_JPG.rf.8400203442f5050d4c4ca21b1944d1ac.jpg,0,0,0,0,0,0,0
Mn_7b3f4992-f771-4b6e-b25f-7ec4c5823c88___JR_B-Spot-8951_JPG.rf.b229ca14ab02d488eba8fd7a7fcb2913.jpg,0,0,1,0,0,0,0
Healthy_68bf32ff-b8b9-4412-a83e-a21ba49fe025___JR_HL-8771_JPG.rf.623be0d9b425d43deb69eaf836a9e7d6.jpg,0,0,0,0,0,0,0
Healthy_4e9af7bf-96f5-4973-8470-0db94ef8e375___JR_HL-7896_newPixel25_JPG.rf.8374fff20fcc00539a4168a8ab61c271.jpg,0,0,0,0,0,0,0
K_Mn_P_Zn_411c6355-117b-4762-80d9-d78556c4e9a1___NREC_B-Spot-1815_JPG.rf.6f642e2b82e12ee767fefbec2f48eb5a.jpg,0,1,1,0,1,0,1
K_P_a7ae874f-138c-4996-949b-f6ba3d4bc1b0___NREC_B-Spot-1959_JPG.rf.742ad499e85c7f3e99a25b3650670972.jpg,0,1,0,0,1,0,0
Healthy_4d5c943b-7c66-4f5d-85e3-d8e2f8c3e096___JR_HL-7727_new30degFlipLR_JPG.rf.82090f3a66b5ef8fd153a74292b0c874.jpg,0,0,0,0,0,0,0
Healthy_cfdcaf03-185a-4d36-9bd6-3256171b7c75___JR_HL-7667_JPG.rf.7a188b99c61c84bdca1d23ddb809f7f5.jpg,0,0,0,0,0,0,0
Mn_P_875f41e8-cd70-44f4-a17c-c8b77fed406c___JR_B-Spot-8902_JPG.rf.8143d5b9e8e6a5810374929ade336ac7.jpg,0,0,1,0,1,0,0
Healthy_f17c87e8-fd78-48a9-8501-1b6283b14c3c___JR_HL-5841_JPG.rf.54e991cad67f503ad9f42b14e4a44734.jpg,0,0,0,0,0,0,0
P_57d9d6f1-8f81-4b5b-8985-c82b136a6c4c___JR_B-Spot-8846_flipTB_JPG.rf.1ba3f343d251e622e911952a98677cbe.jpg,0,0,0,0,1,0,0
Healthy_6a6a7f87-4efb-43c7-ae36-1f9db31246f2___JR_HL-7703_newPixel25_JPG.rf.009a636ed6978c293b646da1c49666a8.jpg,0,0,0,0,0,0,0
Healthy_5f6fca00-3b9a-4f8d-bc53-36ada4085c0a___JR_HL-5832_flipTB_JPG.rf.410f894e4c84d7074a92c7d3462e96ee.jpg,0,0,0,0,0,0,0
Ca_Mn_P_f8711910-13f0-4357-ac06-575454408386___JR_B-Spot-9012_JPG.rf.1a288654e0655c053fc558dd4105d86a.jpg,1,0,1,0,1,0,0
Healthy_4f770d4f-fd8b-4987-8a9b-e813e0c7a61b___JR_HL-8093_JPG.rf.5403615223871dabf01bae0d748fdcc2.jpg,0,0,0,0,0,0,0
K_Mn_P_1d0e1dec-de79-4e26-b592-b174d7c95739___NREC_B-Spot-9186_JPG.rf.f171b7be8a1e8bf1a0f8f1b7ad54bd87.jpg,0,1,1,0,1,0,0
K_Mn_P_b21d5a06-eab3-47a9-86d1-70295f8f8848___NREC_B-Spot-1940_180deg_JPG.rf.5e02be60a51b3973c744d817de34ccf4.jpg,0,1,1,0,1,0,0
Healthy_03c966a7-ac9e-4c8e-965a-6c0e7289a0e8___JR_HL-8509_JPG.rf.f84767b26baaad1fc1fae9a8536d451c.jpg,0,0,0,0,0,0,0
Mn_bd5f72f7-91de-43f7-a287-e4760518e045___JR_B-Spot-8847_flipTB_JPG.rf.6084cfd4bb6ea0b9e4b7ab8d395c11e0.jpg,0,0,1,0,0,0,0
P_be6cc3db-0571-47d0-87f4-f01491a6ea16___NREC_B-Spot-9217_JPG.rf.8ff69db8643c845843b74543ee56f1b3.jpg,0,0,0,0,1,0,0
K_Mn_P_baa2dfb9-ff6a-4f84-9036-243000982301___NREC_B-Spot-1880_180deg_JPG.rf.04ee5b97950111c8734e8b12266545db.jpg,0,1,1,0,1,0,0
Healthy_0e5d9ac1-4de8-491e-ab95-809850866805___JR_HL-8534_newPixel25_JPG.rf.f145a7103d41f1b685b10af5b0ad11cf.jpg,0,0,0,0,0,0,0
Ca_K_Mn_816dee9f-b43f-42da-b0c9-3fb8b29d511d___NREC_B-Spot-9182_180deg_JPG.rf.0ab587df1a0055183e8e72198300ad61.jpg,1,1,1,0,0,0,0
Healthy_c242dc1e-a2ab-4b51-8a81-0e6e1c8df833___JR_HL-7629_JPG.rf.b29bbf5421860277d494488562ae633c.jpg,0,0,0,0,0,0,0
Healthy_3a559a37-6880-497c-9b19-cc9c00657f6b___JR_HL-8048_new30degFlipLR_JPG.rf.c951516423f2811709cbd8042aff26e8.jpg,0,0,0,0,0,0,0
K_Mn_P_43fb5703-5a76-47cf-b027-42a9bd601401___JR_B-Spot-9033_JPG.rf.fc473d176bd15b7cb731f865f36b1679.jpg,0,1,1,0,1,0,0
K_Mn_S_8048788f-facf-475b-8728-4724d98f4df9___JR_B-Spot-3216_flipTB_JPG.rf.a2373e9d722722d1b025b05457af2993.jpg,0,1,1,0,0,1,0
Healthy_4eee40c4-029f-49eb-a918-1aeee490ccdf___JR_HL-8401_JPG.rf.caacd84fe406623f6324b8c744d0b773.jpg,0,0,0,0,0,0,0
Healthy_f025d161-089c-49e4-8f42-ca979e430977___JR_HL-6012_JPG.rf.29e38ce443e5abe4b48550921d851f76.jpg,0,0,0,0,0,0,0
Mn_P_ae645b07-4c93-45d7-9ee6-83cbf1201e8b___NREC_B-Spot-9119_flipTB_JPG.rf.b8bfb83b71179b9fb80251ec59f9f697.jpg,0,0,1,0,1,0,0
Mn_S_ec600995-4f8f-4f07-b312-d7a74bbd950c___JR_B-Spot-3101_JPG.rf.7900141a9e9b778c5dcfeb9f3932abf4.jpg,0,0,1,0,0,1,0
Mn_b1c60a36-0aa1-4051-8dfe-db3ab7feeb39___JR_B-Spot-3406_JPG.rf.9d4e610ffde00706784ab358aa878cf9.jpg,0,0,1,0,0,0,0
Healthy_3be55250-5873-46f7-a55c-e16ec36a300d___JR_HL-8773_180deg_JPG.rf.946e3f6fa1306f28f81a1e2e356c3f30.jpg,0,0,0,0,0,0,0
Healthy_80028075-e32c-4a70-9473-f3b031f63ef8___JR_HL-7843_JPG.rf.4e529ce9c123d2fbce78b2ab0e1ea685.jpg,0,0,0,0,0,0,0
Healthy_5c7dc582-9234-4b2b-88d8-0ece8dd19a80___JR_HL-8585_flipTB_JPG.rf.9a1ba829e5a7f388f1729eafd62922e2.jpg,0,0,0,0,0,0,0
K_P_4396fc84-fea6-4cfd-a352-01241e44efda___NREC_B-Spot-1927_JPG.rf.56b80182a4b85b9493d93d2f3d57a98c.jpg,0,1,0,0,1,0,0
Healthy_3a66348b-a6b7-42ee-9411-9575a4240c6f___JR_HL-8627_newPixel25_JPG.rf.d264436d36be9e188cc5b5d77d72b386.jpg,0,0,0,0,0,0,0
K_Mn_b8b69a41-e188-4c81-9724-2664ee8027c5___JR_B-Spot-8954_JPG.rf.28ed2b016157d6daec91c8a21e59fa06.jpg,0,1,1,0,0,0,0
K_Mn_S_c9e13908-bce6-4ad7-831f-a4a408cabf72___JR_B-Spot-3198_flipTB_JPG.rf.432add4a5b19dcb3acba3d8a676087a9.jpg,0,1,1,0,0,1,0
Mn_P_4cda1135-6cad-421b-9648-d00f9f3cd16f___JR_B-Spot-3304_JPG.rf.adfea853a2ee3daa9d115ac8f95829a5.jpg,0,0,1,0,1,0,0
K_Mn_P_05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B-Spot-3327_JPG.rf.8d7e46e5debab4ad4980a672276d7ee2.jpg,0,1,1,0,1,0,0
Healthy_8e57033c-b244-409e-8249-f555690fe7de___JR_HL-7954_JPG.rf.f931b6ed990be888421934c458e65f56.jpg,0,0,0,0,0,0,0
K_Mn_P_05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B-Spot-9048_JPG.rf.64932f36b42f9530445db0ccb00cb107.jpg,0,1,1,0,1,0,0
Healthy_2ba359a8-68ff-4f4b-9c8d-10cab127b257___JR_HL-8294_JPG.rf.24a4ab8ba9de006982fd08c2489267f6.jpg,0,0,0,0,0,0,0
Healthy_07aae897-44cd-4a0c-9471-1bd6234135b0___JR_HL-8745_JPG.rf.6ae87d9c3512db53a8527d9fd0621408.jpg,0,0,0,0,0,0,0
Healthy_3d9eb50c-3739-4e37-987b-c70a398741e5___JR_HL-8308_JPG.rf.20eba70ba6c826737f9b84231031f274.jpg,0,0,0,0,0,0,0
Healthy_1b4b5b1f-9390-46c5-908a-d53b93059f5d___JR_HL-8379_JPG.rf.759b5ef75a83c02bc3b5b2da77f70443.jpg,0,0,0,0,0,0,0
Healthy_4d212bb1-b0dc-46cc-b09c-6fa484bdfc36___JR_HL-8380_JPG.rf.d53c5e5866b78e2d65186d413e2707b1.jpg,0,0,0,0,0,0,0
Healthy_0605e8af-6f30-4a88-b8b1-277904ecef7a___JR_HL-8822_JPG.rf.eb2c84362e43e77b8032b26527403a95.jpg,0,0,0,0,0,0,0
S_21556c18-1833-43a9-86b2-8e7130b4dbce___JR_B-Spot-3230_flipTB_JPG.rf.04bcd4146a988bc156b87ec11cdb8e93.jpg,0,0,0,0,0,1,0
Healthy_10976831-4c21-447e-b738-e46a2c84ef70___JR_HL-5813_JPG.rf.918457c27c1c0208ffeb20f18f6d5cc5.jpg,0,0,0,0,0,0,0
Healthy_08af8792-fca1-451c-bf59-51cdd9d8b7e6___JR_HL-7740_JPG.rf.0958d745d9bf69563edea74f8b5d7714.jpg,0,0,0,0,0,0,0
Healthy_9439a69a-66c9-48cc-8030-7ac35a92e2a2___JR_HL-8577_JPG.rf.542c8722ac3179ea8d2b438d75eb9b1e.jpg,0,0,0,0,0,0,0
Healthy_a4e150f2-9b5c-4b2c-9b8b-775d132a03b4___JR_HL-8299_JPG.rf.80651ee1d797133fa6a95274d9969de5.jpg,0,0,0,0,0,0,0
Healthy_08881481-53d5-412c-8d65-13c4edc6e3c1___JR_HL-8166_JPG.rf.b39c24a1ea487def6ed95f03afe9301f.jpg,0,0,0,0,0,0,0
K_Mn_P_993094d0-de25-4e57-9fa3-4a92b3464e32___NREC_B-Spot-1939_JPG.rf.c8c1a68f4d2684658821009e88e4f0a3.jpg,0,1,1,0,1,0,0
Healthy_1a1a389d-f186-4481-8a5c-b8c6f864ad7f___JR_HL-8649_JPG.rf.669f2b634a0076dc377c1dc43ba33631.jpg,0,0,0,0,0,0,0
Healthy_5d5bbf38-ae12-4229-b6cb-54f0d2583628___JR_HL-8797_flipTB_JPG.rf.1356934cd08dc0154feb19176fa732f9.jpg,0,0,0,0,0,0,0
Mn_Zn_6103f8b9-13cd-4a76-a501-33ebe9d24427___JR_B-Spot-8936_180deg_JPG.rf.520255224bbed040c14ec66f58c6e2c0.jpg,0,0,1,0,0,0,1
K_Mn_P_70985466-254f-479b-86f2-9792be0864ed___JR_B-Spot-9044_180deg_JPG.rf.f02409705800d55a89ded9ed3d9bc975.jpg,0,1,1,0,1,0,0
K_Mn_b98b517c-c70a-4299-ba3d-857cd61ec4bf___JR_B-Spot-9047_180deg_JPG.rf.731a3d3b77b70e1519a09898fc0e62be.jpg,0,1,1,0,0,0,0
Mn_67b4af5b-0ca1-4e11-a7c1-179b4defa8fc___JR_B-Spot-8965_flipTB_JPG.rf.1571e4a2a626fe798189ee9aaf5ae626.jpg,0,0,1,0,0,0,0
K_Mn_P_c0d5ef8e-25fa-4001-85f4-c8b73c9737dd___NREC_B-Spot-9181_flipTB_JPG.rf.9b5019035240f51837adf2eaf9724f22.jpg,0,1,1,0,1,0,0
Healthy_636b11a4-ccc6-496a-923e-72f6332a91b1___JR_HL-8405_JPG.rf.5ba72a6ea6160fedb2b9f9daf3e87341.jpg,0,0,0,0,0,0,0
Healthy_1e6e9501-4510-4950-abea-36882683aa5c___JR_HL-8435_newPixel25_JPG.rf.e4f2ea06e18f3a1db98e6dfcee4b7100.jpg,0,0,0,0,0,0,0
Healthy_0f4823db-878f-4d55-8d0f-ef011243dfda___JR_HL-8436_180deg_JPG.rf.eb7bbbb2aa6e918a8d1b59e0a659f0d1.jpg,0,0,0,0,0,0,0
Mn_P_51f564c9-28a3-4352-960c-9d88445d36d9___NREC_B-Spot-1794_JPG.rf.e655fa999c7e51942889217d62e46d03.jpg,0,0,1,0,1,0,0
Healthy_2a510a2e-0e15-4ee3-9a66-a7bc27710c91___JR_HL-7704_JPG.rf.c9242c8e686b19588a72626a3d23df75.jpg,0,0,0,0,0,0,0
Ca_Mn_91b84b7f-2132-4d72-897b-95c763ce5397___JR_B-Spot-9067_180deg_JPG.rf.2d54180119562d536a88660af0df6675.jpg,1,0,1,0,0,0,0
Healthy_5f11a48a-467f-4639-adcb-f7189c669a5f___JR_HL-8348_newPixel25_JPG.rf.aca88386ccba63bcd446cb1cb509e993.jpg,0,0,0,0,0,0,0
Mn_Zn_48a7cf31-19e0-45ba-89c1-7887afa0bdd4___JR_B-Spot-9095_flipTB_JPG.rf.9c2f5b1a05ef4e21d5c3e313f3938921.jpg,0,0,1,0,0,0,1
Ca_K_Mn_P_45cfd1ee-052e-43ef-93ff-ae392eedd726___NREC_B-Spot-9084_JPG.rf.bbc35732abd4823b6d5610aea1756b9e.jpg,1,1,1,0,1,0,0
Ca_K_Mn_968ac529-2487-4400-b495-423d49d69831___NREC_B-Spot-9238_180deg_JPG.rf.1cd7a2f0b5a2c1f7ebfea9887209f152.jpg,1,1,1,0,0,0,0
Healthy_2fefe600-7bb1-4edd-86e7-0847c9e0e33c___JR_HL-8750_180deg_JPG.rf.8c4b0fb0819dd32ea28f9af2723d9676.jpg,0,0,0,0,0,0,0
Healthy_1fdbead6-97f6-4712-8c5e-2a1285e1e777___JR_HL-8681_JPG.rf.b2dec1a0c4f3a9d8e5cb13170abbaa93.jpg,0,0,0,0,0,0,0
Healthy_d7840b85-45be-4dc2-8135-d3aea938dcf5___JR_HL-5942_JPG.rf.fa9743780ede4cdd89f04a5e36943f17.jpg,0,0,0,0,0,0,0
K_Mn_P_993094d0-de25-4e57-9fa3-4a92b3464e32___NREC_B-Spot-1939_flipTB_JPG.rf.b2330ebc9ccfb49600897f6eb50c3172.jpg,0,1,1,0,1,0,0
Healthy_4ab14ef2-ad45-4df6-87ce-1ffd11ad5543___JR_HL-7899_180deg_JPG.rf.04279263f33206c3d2649abbc703bc17.jpg,0,0,0,0,0,0,0
Mn_S_41410a16-32af-4080-92a7-fd2869d5b48d___JR_B-Spot-9085_flipTB_JPG.rf.1b208e2ae6309787cab31f9cc0c38cb5.jpg,0,0,1,0,0,1,0
Healthy_790190eb-abc0-4fbf-9a49-a3ae0c09cb09___JR_HL-7663_JPG.rf.8150b6171ee5d7b6a93e9056a4eb313b.jpg,0,0,0,0,0,0,0
K_Mn_S_976a6621-9c5a-4c7b-a045-fdceff04d081___JR_B-Spot-3108_JPG.rf.f13b1d2368cc68e62f442e946643f01e.jpg,0,1,1,0,0,1,0
Mn_P_88567f21-a54a-44bb-a572-e3b1c14c3832___JR_B-Spot-3156_180deg_JPG.rf.8a1518e3ea8f50cc823d0e17d7156094.jpg,0,0,1,0,1,0,0
Mn_P_377f30e6-bf06-41d6-885e-85bfe5146a9b___NREC_B-Spot-9072_180deg_JPG.rf.9511241bdd912caa6893e6c9056f2137.jpg,0,0,1,0,1,0,0
Healthy_3f3b903c-cfeb-4574-8be7-1580296d7c2f___JR_HL-5865_180deg_JPG.rf.e6be508a8faf3d0838aa0dec611f4d1b.jpg,0,0,0,0,0,0,0
Healthy_5c8400ba-6824-4c5d-ba27-c92d521c1117___JR_HL-7568_new30degFlipLR_JPG.rf.64f17be4d01140ba1cb9036ba21524eb.jpg,0,0,0,0,0,0,0
K_Mn_S_3d5f977b-126e-4c4b-b6c2-5d81a69cf2d0___JR_B-Spot-3220_JPG.rf.c5031438d662ae145dc41dda76d8205b.jpg,0,1,1,0,0,1,0
K_Mn_41c041c0-d17a-4be1-b2b8-a46a816fbda5___NREC_B-Spot-9192_JPG.rf.43c12846acf36ba157c018bcd559c6a8.jpg,0,1,1,0,0,0,0
K_Mn_S_11a23270-53e7-41b6-8c79-91caeaf9cfa6___JR_B-Spot-9050_JPG.rf.108fded7c39b2021f2cc84b403abd7f8.jpg,0,1,1,0,0,1,0
